Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
European Equities;;;;;;;;;;;;;;
01-juin-23;;;;;;;;;;;;;;
All datapoints provided as of end of last active trading day.;;;;;;;;;;;;;;
ATOS;FR0000051732;ATO;Euronext Paris;EUR;13,43;13,87;13,36;13,615;31/05/2023 17:38;CET;951964;12968657,71;13,615;31/05/2023
AUBAY;FR0000063737;AUB;Euronext Paris;EUR;45,6;46,3;45,3;46,1;31/05/2023 17:35;CET;9829;452108,85;46,1;31/05/2023
AUGROS COSMETICS;FR0000061780;AUGR;Euronext Paris;EUR;6,6;6,6;6,6;6,6;29/05/2023 11:30;CET;10;66;6,6;31/05/2023
AUREA;FR0000039232;AURE;Euronext Paris;EUR;6,48;6,48;6,46;6,46;31/05/2023 16:15;CET;58;374,7;6,46;31/05/2023
AVANTIUM;NL0012047823;AVTX;Euronext Amsterdam, Brussels;EUR;3,455;3,455;3,4;3,4;31/05/2023 17:35;CET;50072;171426,42;3,4;31/05/2023
AVENIR TELECOM;FR001400CFI7;AVT;Euronext Paris;EUR;0,1694;0,1698;0,163;0,1642;31/05/2023 17:35;CET;417104;69053,46;0,1642;31/05/2023
AXA;FR0000120628;CS;Euronext Paris;EUR;26,75;27,165;26,405;26,415;31/05/2023 17:39;CET;13791409;365671767,6;26,415;31/05/2023
AXWAY SOFTWARE;FR0011040500;AXW;Euronext Paris;EUR;21,1;21,1;21;21,1;31/05/2023 17:35;CET;1932;40724,9;21,1;31/05/2023
AZELIS GROUP;BE0974400328;AZE;Euronext Brussels;EUR;23;23;22,42;22,94;31/05/2023 17:38;CET;214741;4915574,92;22,94;31/05/2023
AZERION;NL00150006Z9;AZRN;Euronext Amsterdam;EUR;2,7;2,96;2,62;2,72;31/05/2023 17:36;CET;596672;1667263,23;2,72;31/05/2023
AZERION WARRANTS;NL00150007A0;AZRNW;Euronext Amsterdam;EUR;0,02;0,02;0,02;0,02;18/05/2023 15:09;CET;47;0,94;0,02;31/05/2023
B&S Group;LU1789205884;BSGR;Euronext Amsterdam;EUR;3,765;3,765;3,695;3,7;31/05/2023 17:35;CET;48743;181372,11;3,7;31/05/2023
BAINS MER MONACO;MC0000031187;BAIN;Euronext Paris;EUR;109,5;110;109;109,5;31/05/2023 17:35;CET;365;39914,5;109,5;31/05/2023
BALYO;FR0013258399;BALYO;Euronext Paris;EUR;0,509;0,55;0,509;0,523;31/05/2023 17:35;CET;111141;58586,82;0,523;31/05/2023
BAM GROEP KON;NL0000337319;BAMNB;Euronext Amsterdam;EUR;1,912;1,914;1,899;1,9;31/05/2023 17:35;CET;2025867;3854481,16;1,9;31/05/2023
BANIMMO A;BE0003870871;BANI;Euronext Brussels;EUR;3,82;3,88;3,82;3,88;31/05/2023 17:35;CET;1577;6101,3;3,88;31/05/2023
BARBARA BUI;FR0000062788;BUI;Euronext Paris;EUR;9,8;9,8;9,8;9,8;31/05/2023 11:30;CET;4;39,2;9,8;31/05/2023
BARCO;BE0974362940;BAR;Euronext Brussels;EUR;24,32;24,52;24,02;24,24;31/05/2023 17:35;CET;231891;5619969,64;24,24;31/05/2023
BASIC-FIT;NL0011872650;BFIT;Euronext Amsterdam;EUR;35,48;35,84;34,96;35,7;31/05/2023 17:35;CET;78694;2801308,56;35,7;31/05/2023
BASILIX CERT;BE0003674851;BAS;Euronext Brussels;EUR;11,8;11,8;11,8;11,8;31/05/2023 16:30;CET;38;448,4;11,8;31/05/2023
BASSAC;FR0004023208;BASS;Euronext Paris;EUR;47,8;48,1;45;45;31/05/2023 17:25;CET;894;41428,2;45;31/05/2023
BASTIDE LE CONFORT;FR0000035370;BLC;Euronext Paris;EUR;29,8;29,8;29,05;29,1;31/05/2023 17:35;CET;2152;63021,55;29,1;31/05/2023
BE SEMICONDUCTOR;NL0012866412;BESI;Euronext Amsterdam;EUR;102,6;104,65;101,8;103,05;31/05/2023 17:39;CET;786565;81068844,75;103,05;31/05/2023
BEAULIEU-AV. CERT;BE0003661726;BEAB;Euronext Brussels;EUR;4,34;4,34;4,34;4,34;31/05/2023 16:30;CET;7;30,38;4,34;31/05/2023
BEKAERT;BE0974258874;BEKB;Euronext Brussels;EUR;40,2;40,2;39,74;40,02;31/05/2023 17:35;CET;75697;3027769,46;40,02;31/05/2023
BELIEVE;FR0014003FE9;BLV;Euronext Paris;EUR;11,22;11,44;11,04;11,22;31/05/2023 17:35;CET;31745;356814,36;11,22;31/05/2023
BELUGA;BE0003723377;BELU;Euronext Brussels;EUR;2,76;2,76;2,76;2,76;22/05/2023 13:58;CET;18470;50977,2;2,76;31/05/2023
BELYSSE GROUP;BE0974314461;BELYS;Euronext Brussels;EUR;1,19;1,19;1,17;1,17;31/05/2023 09:15;CET;1281;1523,77;1,17;31/05/2023
BENETEAU;FR0000035164;BEN;Euronext Paris;EUR;15,7;15,76;15,46;15,72;31/05/2023 17:35;CET;82499;1289600,34;15,72;31/05/2023
BENEVOLENTAI;LU2355630455;BAI;Euronext Amsterdam;EUR;1,88;1,88;1,88;1,88;29/05/2023 09:12;CET;199;374,12;1,88;31/05/2023
BENEVOLENTAI W;LU2355630968;BAIW;Euronext Amsterdam;EUR;0,37;0,37;0,37;0,37;09/05/2022 14:34;CET;29815;11031,55;0,37;31/05/2023
BETER BED;NL0000339703;BBED;Euronext Amsterdam;EUR;2,925;2,95;2,9;2,9;31/05/2023 16:48;CET;5267;15325,67;2,9;31/05/2023
BEVER HOLDING;NL0000285278;BEVER;Euronext Amsterdam;EUR;3,4;3,4;3,4;3,4;31/05/2023 11:30;CET;1;3,4;3,4;31/05/2023
BIC;FR0000120966;BB;Euronext Paris;EUR;55,8;56,2;55,65;55,8;31/05/2023 17:35;CET;62348;3481165,9;55,8;31/05/2023
BIGBEN INTERACTIVE;FR0000074072;BIG;Euronext Paris;EUR;5,17;5,3;5,15;5,18;31/05/2023 17:35;CET;54644;284864,54;5,18;31/05/2023
BIOCARTIS;BE0974281132;BCART;Euronext Brussels;EUR;0,579;0,579;0,562;0,565;31/05/2023 17:35;CET;19589;11246,27;0,565;31/05/2023
BIOMERIEUX;FR0013280286;BIM;Euronext Paris;EUR;94,72;94,92;93,16;93,64;31/05/2023 17:37;CET;485442;45472984,32;93,64;31/05/2023
BIOSENIC;BE0974280126;BIOS;Euronext Brussels, Paris;EUR;0,1235;0,1235;0,1195;0,12;31/05/2023 17:35;CET;28302;3403,77;0,12;31/05/2023
BIOSENIC(SUB)C1;BE0970179827;BIOS1;Euronext Brussels, Paris;EUR;0,0001;0,0001;0,0001;0,0001;15/02/2023 10:09;CET;799;0,08;0,0001;31/05/2023
BIOTALYS;BE0974386188;BTLS;Euronext Brussels;EUR;6,14;6,24;6,02;6,02;31/05/2023 17:35;CET;6525;39990,2;6,02;31/05/2023
BLEECKER;FR0000062150;BLEE;Euronext Paris;EUR;191;191;191;191;29/05/2023 16:30;CET;2;382;191;31/05/2023
BNP PARIBAS ACT.A;FR0000131104;BNP;Euronext Paris;EUR;54,88;55,55;53,89;54,01;31/05/2023 17:35;CET;5349242;290551687,2;54,01;31/05/2023
BOIRON;FR0000061129;BOI;Euronext Paris;EUR;38,65;38,65;37,6;37,9;31/05/2023 17:35;CET;48687;1848255,9;37,9;31/05/2023
BOLLORE;FR0000039299;BOL;Euronext Paris;EUR;5,9;5,99;5,845;5,99;31/05/2023 17:35;CET;10625929;63577022,22;5,99;31/05/2023
